Type, Name, Region/Stadt, URL
NGOs, Runter Tisch GIS E.V., München,https://rundertischgis.de/veranstaltungen/m%C3%BCnchner-gi-runde.html, 

Industry, virtualcitysystems GmbH, Grafing,,
Industry, con terra GmbH, Münster,,
Industry, VertiGIS, München,, 
Industry, GI Geoinformatik GmbH, Augsburg,,
Industry, Esri Schweiz AG, Zürich,,
Industry, IP SYSCON GmbH, Hannover/Osnabrück, ,
Industry, frox GmbH, Dortmund,,
Industry, M.O.S.S GmbH, Taufkirchen,,
Industry, GeoCockpit, Schlierbarch,,
Industry, Esri Deutschland GmbH,,
Industry, 52°North Initiative for Geospatial Open Source Software GmbH, Münster,,
Industry, GAF AG, München,,
Industry, AirborneHydroMapping GmbH, Innsbruck,,
Industry, FATMAP, Berlin/...,,



Interesting Websites:
https://geoawesomeness.com/2019-top-100-geospatial-companies-startups/

